date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:16	65290/65290	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:16%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=203	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/indexbd06.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:17	107148/107148	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:17%20GMT	https://castillofab.com/wooglee-kurtis	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/wooglee-kurtis.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:19	119430/119430	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:18%20GMT	https://castillofab.com/yami-fashion	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/yami-fashion.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:20	56094/56094	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:20%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=69	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index9a76.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:21	72025/72025	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:21%20GMT	https://castillofab.com/yashika-cotton	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/yashika-cotton.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:22	98276/98276	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:22%20GMT	https://castillofab.com/ynf	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/ynf.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:24	66948/66948	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:23%20GMT	https://castillofab.com/zaura-hassan	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/zaura-hassan.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:25	56086/56086	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:25%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=175	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index3f4d.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:26	56099/56099	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:26%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=181	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index645b.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:27	85236/85236	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:27%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=197	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index73de.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:29	67035/67035	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:28%20GMT	https://castillofab.com/zoya-suits	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/zoya-suits.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:30	66846/66846	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:30%20GMT	https://castillofab.com/zsm-suits	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/zsm-suits.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:31	0/-1	---M--	302	error ('')			https://castillofab.com/index.php?route=account/account	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index.13d3839c.delayed	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:31	0/-1	---M--	302	error ('')			https://castillofab.com/index.php?route=account/order	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index.13d4ee92.delayed	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:31	0/-1	---M--	302	error ('')			https://castillofab.com/index.php?route=account/wishlist	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index.13d54628.delayed	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:31	0/-1	---M--	302	error ('')			https://castillofab.com/index.php?route=account/newsletter	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index.13d6b4e9.delayed	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:32	0/-1	---M--	302	error ('')			https://castillofab.com/index.php?route=account/wishlist	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index.13d74628.delayed	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:32	0/-1	---M--	302	error ('')			https://castillofab.com/index.php?route=checkout/checkout	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index.13d8f1a8.delayed	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:32	0/-1	---M--	302	error ('')			https://castillofab.com/index.php?route=account/wishlist	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index.13d94628.delayed	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:32	0/-1	---M--	302	error ('')			https://castillofab.com/index.php?route=checkout/checkout	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index.13daf1a8.delayed	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:32	124949/124949	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:31%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=66	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index7ff4.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:34	97102/97102	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:33%20GMT	https://castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/cosmetics-at-best-price-in-india	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/cosmetics-at-best-price-in-india.html	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:36	97158/97158	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:35%20GMT	https://castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/long-lasting-deodrants-from-arochem	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/long-lasting-deodrants-from-arochem.html	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:39	97022/97022	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:37%20GMT	https://castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/shampooconditioners	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/shampooconditioners.html	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:41	97200/97200	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:40%20GMT	https://castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/Imitation-Jewellery-at-best-price-in-india	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/Imitation-Jewellery-at-best-price-in-india.html	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:45	159518/159518	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:43%20GMT	https://castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/perfumes-and-attars-at-best-price-in-india	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/perfumes-and-attars-at-best-price-in-india.html	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:47	96954/96954	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:46%20GMT	https://castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/goggles	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/goggles.html	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:50	96946/96946	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:49%20GMT	https://castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/wallets	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/perfumes-deos-attars-jewellery-at-best-price-in-india/men-women-accessories-at-best-price-in-india/wallets.html	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:53	122642/122642	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:51%20GMT	https://castillofab.com/wholesale-sarees/embroidery-work-sarees-wholesale-catalog/bridal-sarees-wholesale-catalog	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/wholesale-sarees/embroidery-work-sarees-wholesale-catalog/bridal-sarees-wholesale-catalog.html	(from https://castillofab.com/index.php?route=information/sitemap)
18:01:57	122679/122679	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:55%20GMT	https://castillofab.com/wholesale-sarees/embroidery-work-sarees-wholesale-catalog/gerogette-sarees-wholesale-catalog	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/wholesale-sarees/embroidery-work-sarees-wholesale-catalog/gerogette-sarees-wholesale-catalog.html	(from https://castillofab.com/index.php?route=information/sitemap)
18:02:00	122718/122718	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:58%20GMT	https://castillofab.com/wholesale-sarees/embroidery-work-sarees-wholesale-catalog/wedding-wear-sarees-wholesale-catalog	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/wholesale-sarees/embroidery-work-sarees-wholesale-catalog/wedding-wear-sarees-wholesale-catalog.html	(from https://castillofab.com/index.php?route=information/sitemap)
